title,body_texts,img_urls
スカパーJSAT、放送インフラ外販知財ビジネスの「黒子」がお宝に,スカパーJSATが衛星放送施設「スカパー東京メディアセンター（TMC、東京・江東）」をロケ地として利用してもらったり、センター内の番組制作スタジオを貸し出したりするサービスに乗り出した。知的財産（IP）事業強化の流れは放送業界以外にも広がり、良質な番組制作環境への需要は高い。IP創出の「黒子」ビジネスともいえる新サービスは苦境のメディア事業の隠れたお宝になるかもしれない。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2415585025122025000000-1.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.3&fp-y=0.39&fp-z=1&crop=focalpoint&s=f32903259b18f3759a668e9f533b89fc
中国、AI半導体「H200」受け入れ準備かNVIDIAファン氏近く訪中,【シリコンバレー=清水孝輔】米エヌビディアが人工知能（AI）開発に使う半導体「H200」の対中輸出に向け動き出した。H200は米国が出荷容認を表明し、中国側が一時輸入に難色を示す局面もあったが、受け入れ準備を始めた。同社のジェンスン・ファン最高経営責任者（CEO）は近く中国を訪問し、採用を働きかける。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2520807023012026000000-2.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.51&fp-y=0.31&fp-z=1&crop=focalpoint&s=77e728804f60f36c1294cd5afb70a999
パスワード、理想は何文字以上？破られにくくするには長さが重要,2025年11月、東海地方在住の男性（19）は、母親と共有しているストリーミングサービスのアプリを久しぶりに立ち上げて驚いた。「言語設定はインドネシア語に変更され、ファミリー全員の名前が変えられていた」,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2509531022012026000000-1.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.5&fp-y=0.5&fp-z=1&crop=focalpoint&s=00e924274bde5bb30b2a0bd55b3eff1e
株価1年で2.2倍のスカパーJSATHD、宇宙防衛で増す存在感,スカパーJSATホールディングス（9412）株の上昇が続いている。2025年に株価が2倍超になった勢いは年明けも衰えず、1月15日に上場来高値を更新した。防衛省向けの衛星網を整備する事業を落札するなど、防衛・安全保障分野で同社の宇宙事業の存在感は大きい。防衛関連が株式市場のテーマとなるなか、投資マネーの流入が続いている。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2517087023012026000000-1.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.5&fp-y=0.5&fp-z=1&crop=focalpoint&s=c72e0106458f50cf1ceef0f8af2b0200
シャープ堺工場は「最高の居抜き物件」KDDIがつくったAIデータ拠点,KDDIは堺市に大規模なAI（人工知能）データセンターを開設した。堺データセンターは大阪市内からも約15キロメートルと近く、高度なAI処理をしても低遅延で返答させることが可能な距離といえる。昨今、生成AIの世界では米オープンAIの「Chat（チャット）GPT」よりもグーグル「Gemini」のほうが評価が高くなっている。今回、オープンした堺データセンターではGeminiを使ったAIサービスの開発が...,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2516660023012026000000-1.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.85&fp-y=0.35&fp-z=1&crop=focalpoint&s=8c3475455892fb168e2906729e514943
欧州ファンドEQT、システム開発の豆蔵を買収へ総額586億円,欧州系投資ファンドのEQTは23日、システム開発の豆蔵に1株3551円でTOB（株式公開買い付け）を実施すると発表した。国内ファンドのインテグラルや創業家などからも株式を譲り受け、総額586億円を投じて買収する。非公開化で人工知能（AI）関連投資を進める。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2516608023012026000000-1.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.5&fp-y=0.5&fp-z=1&crop=focalpoint&s=aaccc4747af9a238f40ef310afe0cb79
LINEヤフーシステム基盤統合データ･技術相互利用、サービス拡充,LINEヤフーは2030年にも、LINEとヤフーで異なるデータやシステム管理の基盤を統合する。両方のビッグデータを活用できる環境をつくり、人工知能（AI）の力も借りて、事業の垣根を越えたサービス提案を増やす。基盤統合を契機に、傘下に100を超えるネットサービスを抱えて積年の課題となっていたサービス間の連携を推し進める。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2398982023122025000000-1.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.5&fp-y=0.5&fp-z=1&crop=focalpoint&s=f0f4b59abcf2106c5959edffea6a454c
サカナAI、Googleから資金調達ジェミニで製品開発,人工知能（AI）開発のSakana AI（サカナAI、東京・港）は23日、米グーグルから出資を受けると同時に事業面でも提携したと発表した。グーグルの大規模言語モデル（LLM）を活用した製品開発などを進める。金融や政府といったセキュリティー要件が厳しい顧客に対し、グーグルのクラウド基盤上で製品を提供する。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2509576022012026000000-2.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.5&fp-y=0.5&fp-z=1&crop=focalpoint&s=daf8624430957bd21dcfe0923a316fbf
タイ最大財閥のCP、創業家出身CEOが退任通信事業立て直しに専念,【バンコク=赤間建哉】タイ最大財閥のチャロン・ポカパン（CP）グループは23日、スパチャイ・チャラワノン最高経営責任者（CEO）が退任したと明らかにした。立て直しを迫られる通信事業の経営に専念する。同氏は財閥の総帥であるタニン上級会長の三男で、グループの後継戦略の観点からも動向が注目されている。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2517507023012026000000-1.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.47&fp-y=0.49&fp-z=1&crop=focalpoint&s=2375e961ed2c08eb5c2430785a214d1d
全日空商事、宇宙光通信の新興に出資供給網管理や海外展開を支援,ANAグループの全日空商事は、宇宙向けの光通信技術を手掛けるスタートアップのワープスペース（茨城県つくば市）に出資したと発表した。同社のサプライチェーン（供給網）管理や海外への製品販売の強化に向けて資本業務提携した。,https://article-image-ix.nikkei.com/https%3A%2F%2Fimgix-proxy.n8s.jp%2FDSXZQO2515774023012026000000-1.jpg?ixlib=js-3.8.0&w=380&h=237&auto=format%2Ccompress&fit=crop&bg=FFFFFF&fp-x=0.5&fp-y=0.5&fp-z=1&crop=focalpoint&s=74ea5e127226c5f933cad091cb47781c
